seq,round,bench,status,kind,name,median,mean,min,p95
1,0,prime-boid,OK,stage,GridBuildSystem,86.70,91.07,71.80,126.10
1,0,prime-boid,OK,stage,BoidSystem,524.00,566.15,493.00,662.40
1,0,prime-boid,OK,stage,MovementSystem,52.40,52.21,23.60,80.10
1,0,prime-boid,OK,stage,ApplyWorldBounds,51.70,53.53,49.80,67.40
1,0,prime-boid,OK,stage,CollisionSystem,345.90,345.46,300.20,408.40
1,0,prime-boid,OK,stage,ApplyCommands,0.10,0.09,0.00,0.20
1,0,prime-boid,OK,frame,frame,1080.80,1108.52,966.60,1271.70
1,0,prime-boid,OK,count,events_published,1021.00,1006.00,900.00,1057.00
1,0,prime-boid,OK,count,events_dropped,0.00,0.00,0.00,0.00
2,0,prime-survivor,OK,stage,SpawnEnemies,0.00,0.15,0.00,0.80
2,0,prime-survivor,OK,stage,FireBullets,0.20,0.34,0.00,0.80
2,0,prime-survivor,OK,stage,Movement,28.30,34.83,4.80,90.70
2,0,prime-survivor,OK,stage,GridBuild,40.80,49.53,14.00,111.90
2,0,prime-survivor,OK,stage,Hit,23.40,31.13,8.00,81.40
2,0,prime-survivor,OK,stage,DispatchEvents,0.30,0.44,0.00,0.90
2,0,prime-survivor,OK,stage,Lifetime,0.30,0.31,0.10,0.50
2,0,prime-survivor,OK,stage,Collect,0.20,0.25,0.10,0.40
2,0,prime-survivor,OK,stage,Reach,1.10,1.13,0.70,1.70
2,0,prime-survivor,OK,stage,ApplyCommands,0.30,0.33,0.00,0.70
2,0,prime-survivor,OK,frame,frame,112.50,119.04,41.20,213.50
2,0,prime-survivor,OK,count,created,1.00,0.93,0.00,3.00
2,0,prime-survivor,OK,count,destroyed,1.00,0.95,0.00,3.00
2,0,prime-survivor,OK,count,commands_applied,1.00,1.31,0.00,6.00
2,0,prime-survivor,OK,count,hits_delivered,0.00,0.32,0.00,1.00
2,0,prime-survivor,OK,count,alive,221.00,220.95,219.00,223.00
3,0,prime-wake,OK,wake,A_kick1_poll_total,4.70,4.48,3.20,5.30
3,0,prime-wake,OK,wake,A_kick1_poll_to_start,4.50,4.30,3.10,5.00
3,0,prime-wake,OK,wake,B_kick1_waitfor,1.80,1.67,1.10,2.00
3,0,prime-wake,OK,wake,C_kick20_waitfor_total,15.70,26.75,4.90,111.40
3,0,prime-wake,OK,wake,C_kick20_kick_part,13.10,26.14,4.10,111.30
4,1,boid,OK,stage,GridBuildSystem,96.90,97.36,68.60,126.50
4,1,boid,OK,stage,BoidSystem,510.30,532.51,430.00,640.20
4,1,boid,OK,stage,MovementSystem,50.60,57.46,25.10,105.60
4,1,boid,OK,stage,ApplyWorldBounds,50.50,55.56,49.40,77.10
4,1,boid,OK,stage,CollisionSystem,324.00,335.56,292.80,395.70
4,1,boid,OK,stage,ApplyCommands,0.10,0.09,0.00,0.20
4,1,boid,OK,frame,frame,1052.90,1078.54,898.60,1256.50
4,1,boid,OK,count,events_published,755.00,773.26,445.00,1000.00
4,1,boid,OK,count,events_dropped,0.00,0.00,0.00,0.00
5,1,small,OK,stage,SpawnEnemies,0.00,0.17,0.00,0.70
5,1,small,OK,stage,FireBullets,0.10,0.24,0.00,0.60
5,1,small,OK,stage,Movement,37.90,43.01,4.20,90.00
5,1,small,OK,stage,GridBuild,46.50,51.59,10.20,98.90
5,1,small,OK,stage,Hit,37.40,40.82,5.90,86.20
5,1,small,OK,stage,DispatchEvents,0.20,0.38,0.00,0.80
5,1,small,OK,stage,Lifetime,0.20,0.35,0.10,0.40
5,1,small,OK,stage,Collect,0.20,0.28,0.00,0.40
5,1,small,OK,stage,Reach,0.80,1.25,0.70,4.10
5,1,small,OK,stage,ApplyCommands,0.20,0.33,0.00,0.70
5,1,small,OK,frame,frame,131.80,138.86,22.10,224.00
