seq,round,bench,args,status,exit_code,wall_s,window_s,cores_by_times,cores_by_cycles,frame_median_us,frame_mean_us,frame_min_us,frame_p95_us,raw
1,0,prime-boid,"40 10",OK,0,9.422,0.033599,9.301,10.113,1080.80,1108.52,966.60,1271.70,raw/001_prime-boid.txt
2,0,prime-survivor,"100 900 small",OK,0,0.927,0.011985,5.215,4.631,112.50,119.04,41.20,213.50,raw/002_prime-survivor.txt
3,0,prime-wake,"20 0",OK,0,0.629,,,,,,,,raw/003_prime-wake.txt
4,1,boid,"300 30",OK,0,0.358,0.293507,12.883,10.749,1052.90,1078.54,898.60,1256.50,raw/004_boid.txt
5,1,small,"3000 900 small",OK,0,0.585,0.417804,5.273,4.428,131.80,138.86,22.10,224.00,raw/005_small.txt
6,1,large,"3000 900 large",OK,0,0.669,0.494120,4.174,4.427,158.20,164.38,79.40,247.80,raw/006_large.txt
7,2,boid,"300 30",OK,0,0.334,0.272643,8.138,9.852,961.20,1001.41,864.60,1256.90,raw/007_boid.txt
8,2,small,"3000 900 small",OK,0,0.553,0.384174,4.189,4.564,121.30,127.64,22.20,211.10,raw/008_small.txt
9,2,large,"3000 900 large",OK,0,0.641,0.477370,4.615,4.575,152.20,158.79,73.30,244.50,raw/009_large.txt
10,3,boid,"300 30",OK,0,0.336,0.277177,9.358,9.067,963.20,1018.28,871.30,1335.70,raw/010_boid.txt
11,3,small,"3000 900 small",OK,0,0.475,0.345112,5.026,4.814,108.00,114.65,22.40,193.50,raw/011_small.txt
12,3,large,"3000 900 large",OK,0,0.551,0.410759,6.124,5.004,128.40,136.61,55.40,215.50,raw/012_large.txt
13,4,boid,"300 30",OK,0,0.326,0.270437,8.435,9.754,959.40,993.32,850.00,1213.40,raw/013_boid.txt
14,4,small,"3000 900 small",OK,0,0.676,0.500750,3.932,3.869,159.00,166.23,23.60,249.70,raw/014_small.txt
15,4,large,"3000 900 large",OK,0,0.693,0.511491,4.032,4.299,161.60,170.15,74.50,263.00,raw/015_large.txt
16,5,boid,"300 30",OK,0,0.335,0.274981,9.546,9.456,972.30,1010.31,873.30,1250.00,raw/016_boid.txt
17,5,small,"3000 900 small",OK,0,0.535,0.389312,3.813,4.608,123.00,129.38,23.80,206.10,raw/017_small.txt
18,5,large,"3000 900 large",OK,0,0.670,0.493237,4.688,4.435,158.30,164.09,81.30,244.20,raw/018_large.txt
19,6,boid,"300 30",OK,0,0.329,0.266948,10.243,11.138,950.70,980.47,857.40,1170.20,raw/019_boid.txt
20,6,small,"3000 900 small",OK,0,0.498,0.361966,4.662,4.724,114.30,120.26,29.60,199.30,raw/020_small.txt
21,6,large,"3000 900 large",OK,0,0.659,0.483966,4.778,4.463,156.30,161.00,74.70,237.50,raw/021_large.txt
22,7,boid,"300 30",OK,0,0.339,0.279311,7.272,9.054,973.70,1026.34,877.50,1302.70,raw/022_boid.txt
23,7,small,"3000 900 small",OK,0,0.557,0.408830,3.937,4.403,131.00,135.86,24.10,209.30,raw/023_small.txt
24,7,large,"3000 900 large",OK,0,0.654,0.485435,4.056,4.523,156.40,161.45,75.80,239.90,raw/024_large.txt
25,8,boid,"300 30",OK,0,0.340,0.280325,9.364,8.852,978.80,1030.00,867.40,1326.20,raw/025_boid.txt
26,8,small,"3000 900 small",OK,0,0.557,0.409638,4.348,4.394,130.70,136.18,36.80,212.40,raw/026_small.txt
27,8,large,"3000 900 large",OK,0,0.686,0.504116,4.463,4.269,161.30,167.71,75.40,250.20,raw/027_large.txt
28,9,boid,"300 30",OK,0,0.336,0.276805,10.048,8.978,954.10,1016.98,874.90,1302.30,raw/028_boid.txt
29,9,small,"3000 900 small",OK,0,0.614,0.450922,3.846,4.249,144.10,149.87,50.20,225.00,raw/029_small.txt
30,9,large,"3000 900 large",OK,0,0.717,0.535766,3.733,3.835,170.40,178.22,84.10,260.70,raw/030_large.txt
31,10,boid,"300 30",OK,0,0.344,0.278685,8.522,8.780,977.70,1023.71,860.10,1301.40,raw/031_boid.txt
