seq,round,bench,status,kind,name,median,mean,min,p95
1,0,prime-boid,OK,stage,GridBuildSystem,89.90,96.41,80.70,131.70
1,0,prime-boid,OK,stage,BoidSystem,604.90,599.25,496.40,707.50
1,0,prime-boid,OK,stage,MovementSystem,34.20,38.17,23.00,64.30
1,0,prime-boid,OK,stage,ApplyWorldBounds,50.60,58.31,49.80,100.20
1,0,prime-boid,OK,stage,CollisionSystem,406.50,385.06,304.70,463.90
1,0,prime-boid,OK,stage,ApplyCommands,0.10,0.08,0.00,0.20
1,0,prime-boid,OK,frame,frame,1181.60,1177.29,998.80,1343.60
1,0,prime-boid,OK,count,events_published,1011.00,1013.97,951.00,1098.00
1,0,prime-boid,OK,count,events_dropped,0.00,0.00,0.00,0.00
2,0,prime-survivor,OK,stage,SpawnEnemies,0.00,0.06,0.00,0.30
2,0,prime-survivor,OK,stage,FireBullets,0.10,0.07,0.00,0.20
2,0,prime-survivor,OK,stage,Movement,1.20,1.28,0.90,1.90
2,0,prime-survivor,OK,stage,GridBuild,8.30,8.43,7.00,10.20
2,0,prime-survivor,OK,stage,Hit,2.90,3.51,2.20,4.80
2,0,prime-survivor,OK,stage,DispatchEvents,0.10,0.08,0.00,0.30
2,0,prime-survivor,OK,stage,Lifetime,0.10,0.12,0.00,0.20
2,0,prime-survivor,OK,stage,Collect,0.00,0.04,0.00,0.10
2,0,prime-survivor,OK,stage,Reach,0.70,0.89,0.60,1.40
2,0,prime-survivor,OK,stage,ApplyCommands,0.10,0.10,0.00,0.30
2,0,prime-survivor,OK,frame,frame,14.10,14.98,11.60,19.10
2,0,prime-survivor,OK,count,created,1.00,0.93,0.00,3.00
2,0,prime-survivor,OK,count,destroyed,1.00,0.95,0.00,3.00
2,0,prime-survivor,OK,count,commands_applied,1.00,1.31,0.00,6.00
2,0,prime-survivor,OK,count,hits_delivered,0.00,0.32,0.00,1.00
2,0,prime-survivor,OK,count,alive,221.00,220.95,219.00,223.00
3,0,prime-wake,OK,wake,A_kick1_poll_total,5.00,5.06,4.20,6.50
3,0,prime-wake,OK,wake,A_kick1_poll_to_start,4.80,4.88,4.00,6.40
3,0,prime-wake,OK,wake,B_kick1_waitfor,0.40,0.74,0.10,2.00
3,0,prime-wake,OK,wake,C_kick20_waitfor_total,50.70,48.62,4.50,122.90
3,0,prime-wake,OK,wake,C_kick20_kick_part,50.30,48.04,1.30,122.50
4,1,boid,OK,stage,GridBuildSystem,103.30,105.21,79.30,130.60
4,1,boid,OK,stage,BoidSystem,495.80,507.00,414.50,652.10
4,1,boid,OK,stage,MovementSystem,25.70,29.30,22.00,58.30
4,1,boid,OK,stage,ApplyWorldBounds,50.10,51.03,49.60,61.50
4,1,boid,OK,stage,CollisionSystem,315.50,327.96,265.90,415.40
4,1,boid,OK,stage,ApplyCommands,0.10,0.07,0.00,0.10
4,1,boid,OK,frame,frame,981.50,1020.56,866.60,1276.00
4,1,boid,OK,count,events_published,751.00,763.61,482.00,966.00
4,1,boid,OK,count,events_dropped,0.00,0.00,0.00,0.00
5,1,small,OK,stage,SpawnEnemies,0.00,0.04,0.00,0.20
5,1,small,OK,stage,FireBullets,0.10,0.06,0.00,0.10
5,1,small,OK,stage,Movement,1.00,1.05,0.90,1.10
5,1,small,OK,stage,GridBuild,7.30,7.65,6.80,9.10
5,1,small,OK,stage,Hit,2.50,2.55,2.00,2.80
5,1,small,OK,stage,DispatchEvents,0.10,0.06,0.00,0.10
5,1,small,OK,stage,Lifetime,0.10,0.10,0.00,0.20
5,1,small,OK,stage,Collect,0.00,0.04,0.00,0.10
5,1,small,OK,stage,Reach,0.70,0.71,0.60,0.80
5,1,small,OK,stage,ApplyCommands,0.10,0.07,0.00,0.20
5,1,small,OK,frame,frame,12.10,12.59,11.10,14.10
5,1,small,OK,count,created,1.00,0.89,0.00,3.00
5,1,small,OK,count,destroyed,1.00,0.89,0.00,3.00
5,1,small,OK,count,commands_applied,1.00,1.10,0.00,6.00
5,1,small,OK,count,hits_delivered,0.00,0.33,0.00,1.00
5,1,small,OK,count,alive,220.00,220.00,216.00,222.00
6,1,large,OK,stage,SpawnEnemies,0.00,0.23,0.00,1.30
6,1,large,OK,stage,FireBullets,0.50,0.39,0.00,0.90
6,1,large,OK,stage,Movement,10.40,10.66,5.90,12.90
