seq,round,bench,args,status,exit_code,wall_s,window_s,cores_by_times,cores_by_cycles,frame_median_us,frame_mean_us,frame_min_us,frame_p95_us,raw
1,0,prime-boid,"40 10",OK,0,11.310,0.035676,7.883,9.661,1181.60,1177.29,998.80,1343.60,raw/001_prime-boid.txt
2,0,prime-survivor,"100 900 small",OK,0,0.872,0.001543,0.000,0.998,14.10,14.98,11.60,19.10,raw/002_prime-survivor.txt
3,0,prime-wake,"20 0",OK,0,0.836,,,,,,,,raw/003_prime-wake.txt
4,1,boid,"300 30",OK,0,0.340,0.277751,11.532,11.193,981.50,1020.56,866.60,1276.00,raw/004_boid.txt
5,1,small,"3000 900 small",OK,0,0.076,0.038094,0.820,0.987,12.10,12.59,11.10,14.10,raw/005_small.txt
6,1,large,"3000 900 large",OK,0,0.291,0.208355,2.250,2.339,66.10,69.17,59.60,88.70,raw/006_large.txt
7,2,boid,"300 30",OK,0,0.336,0.275042,8.692,9.605,963.40,1010.52,854.40,1253.30,raw/007_boid.txt
8,2,small,"3000 900 small",OK,0,0.077,0.038322,1.223,0.976,12.00,12.66,11.30,14.00,raw/008_small.txt
9,2,large,"3000 900 large",OK,0,0.301,0.214357,1.822,2.226,65.10,71.04,58.60,102.00,raw/009_large.txt
10,3,boid,"300 30",OK,0,0.337,0.276083,8.093,9.300,963.60,1014.40,875.10,1246.40,raw/010_boid.txt
11,3,small,"3000 900 small",OK,0,0.076,0.037856,0.826,0.992,12.00,12.50,11.30,14.00,raw/011_small.txt
12,3,large,"3000 900 large",OK,0,0.299,0.211367,2.144,2.346,67.40,70.20,61.20,86.90,raw/012_large.txt
13,4,boid,"300 30",OK,0,0.335,0.275826,10.310,9.448,970.20,1013.56,861.00,1238.80,raw/013_boid.txt
14,4,small,"3000 900 small",OK,0,0.076,0.038281,0.816,0.975,12.00,12.64,11.00,14.00,raw/014_small.txt
15,4,large,"3000 900 large",OK,0,0.292,0.211027,2.221,2.253,64.80,70.06,58.80,101.50,raw/015_large.txt
16,5,boid,"300 30",OK,0,0.346,0.273909,8.443,9.688,955.90,1006.13,867.30,1229.40,raw/016_boid.txt
